|   Iteraciones |             a |            xm |             b |         f(xm) | Error             |
|            28 |        inf            |        inf            |  nan           | nan               |
|            29 |        inf            |        inf            |  nan           | nan               |
|            30 |        inf            |        inf            |  nan           | nan               |
|            31 |        inf            |        inf            |  nan           | nan               |
|            32 |        inf            |        inf            |  nan           | nan               |
|            33 |        inf            |        inf            |  nan           | nan               |
|            34 |        inf            |        inf            |  nan           | nan               |
|            35 |        inf            |        inf            |  nan           | nan               |
|            36 |        inf            |        inf            |  nan           | nan               |
|            37 |        inf            |        inf            |  nan           | nan               |
|            38 |        inf            |        inf            |  nan           | nan               |
|            39 |        inf            |        inf            |  nan           | nan               |
|            40 |        inf            |        inf            |  nan           | nan               |
|            41 |        inf            |        inf            |  nan           | nan               |
|            42 |        inf            |        inf            |  nan           | nan               |
|            43 |        inf            |        inf            |  nan           | nan               |
|            44 |        inf            |        inf            |  nan           | nan               |
|            45 |        inf            |        inf            |  nan           | nan               |
|            46 |        inf            |        inf            |  nan           | nan               |
|            47 |        inf            |        inf            |  nan           | nan               |
|            48 |        inf            |        inf            |  nan           | nan               |
|            49 |        inf            |        inf            |  nan           | nan               |
|            50 |        inf            |        inf            |  nan           | nan               |
|            51 |        inf            |        inf            |  nan           | nan               |
|            52 |        inf            |        inf            |  nan           | nan               |
|            53 |        inf            |        inf            |  nan           | nan               |
|            54 |        inf            |        inf            |  nan           | nan               |
|            55 |        inf            |        inf            |  nan           | nan               |
|            56 |        inf            |        inf            |  nan           | nan               |
|            57 |        inf            |        inf            |  nan           | nan               |
|            58 |        inf            |        inf            |  nan           | nan               |
|            59 |        inf            |        inf            |  nan           | nan               |
|            60 |        inf            |        inf            |  nan           | nan               |
|            61 |        inf            |        inf            |  nan           | nan               |
|            62 |        inf            |        inf            |  nan           | nan               |
|            63 |        inf            |        inf            |  nan           | nan               |
|            64 |        inf            |        inf            |  nan           | nan               |
|            65 |        inf            |        inf            |  nan           | nan               |
|            66 |        inf            |        inf            |  nan           | nan               |
|            67 |        inf            |        inf            |  nan           | nan               |
|            68 |        inf            |        inf            |  nan           | nan               |
|            69 |        inf            |        inf            |  nan           | nan               |
|            70 |        inf            |        inf            |  nan           | nan               |
|            71 |        inf            |        inf            |  nan           | nan               |
|            72 |        inf            |        inf            |  nan           | nan               |
|            73 |        inf            |        inf            |  nan           | nan               |
|            74 |        inf            |        inf            |  nan           | nan               |
|            75 |        inf            |        inf            |  nan           | nan               |
|            76 |        inf            |        inf            |  nan           | nan               |
|            77 |        inf            |        inf            |  nan           | nan               |
|            78 |        inf            |        inf            |  nan           | nan               |
|            79 |        inf            |        inf            |  nan           | nan               |
|            80 |        inf            |        inf            |  nan           | nan               |
|            81 |        inf            |        inf            |  nan           | nan               |
|            82 |        inf            |        inf            |  nan           | nan               |
|            83 |        inf            |        inf            |  nan           | nan               |
|            84 |        inf            |        inf            |  nan           | nan               |
|            85 |        inf            |        inf            |  nan           | nan               |
|            86 |        inf            |        inf            |  nan           | nan               |
|            87 |        inf            |        inf            |  nan           | nan               |
|            88 |        inf            |        inf            |  nan           | nan               |
|            89 |        inf            |        inf            |  nan           | nan               |
|            90 |        inf            |        inf            |  nan           | nan               |
|            91 |        inf            |        inf            |  nan           | nan               |
|            92 |        inf            |        inf            |  nan           | nan               |
|            93 |        inf            |        inf            |  nan           | nan               |
|            94 |        inf            |        inf            |  nan           | nan               |
|            95 |        inf            |        inf            |  nan           | nan               |
|            96 |        inf            |        inf            |  nan           | nan               |
|            97 |        inf            |        inf            |  nan           | nan               |
|            98 |        inf            |        inf            |  nan           | nan               |
|            99 |        inf            |        inf            |  nan           | nan               |
|           100 |        inf            |        inf            |  nan           | nan               |
|           101 |        inf            |        inf            |  nan           | nan               |



Resultados del metodo de punto fijo para la funcion F -7*log(x)+x-13 y G 7*log(x)+13 con un punto inicial de 20.0, con una tolerancia de 5e-06

|   Iteraciones |            Xi |         g(xi) |          f(x) | Error                  |
|---------------|---------------|---------------|---------------|------------------------|
|             0 | 20.0000000000 | 33.9701259149 | -13.9701      | NA                     |
|             1 | 33.9701259149 | 37.6783704217 |  -3.70824     | 13.97012591487794      |
|             2 | 37.6783704217 | 38.4036034066 |  -0.725233    | 3.708244506826773      |
|             3 | 38.4036034066 | 38.5370590573 |  -0.133456    | 0.7252329848846131     |
|             4 | 38.5370590573 | 38.5613424586 |  -0.0242834   | 0.13345565074125432    |
|             5 | 38.5613424586 | 38.5657519875 |  -0.00440953  | 0.024283401315678077   |
|             6 | 38.5657519875 | 38.5665523989 |  -0.000800411 | 0.004409528900431781   |
|             7 | 38.5665523989 | 38.5666976787 |  -0.00014528  | 0.0008004113874164887  |
|             8 | 38.5666976787 | 38.5667240475 |  -2.63689e-05 | 0.00014527971792688277 |
|             9 | 38.5667240475 | 38.5667288336 |  -4.78605e-06 | 2.6368862307890595e-05 |
|            10 | 38.5667288336 | 38.5667297022 |  -8.68685e-07 | 4.786045593618837e-06  |



Resultados del metodo de punto fijo para la funcion F -7*log(x)+x-13 y G 7*log(x)+13 con un punto inicial de 50.0, con una tolerancia de 5e-06

|   Iteraciones |            Xi |         g(xi) |        f(x) | Error                  |
|---------------|---------------|---------------|-------------|------------------------|
|             0 | 50.0000000000 | 40.3841610380 | 9.61584     | NA                     |
|             1 | 40.3841610380 | 38.8890635821 | 1.4951      | 9.615838962002982      |
|             2 | 38.8890635821 | 38.6249914847 | 0.264072    | 1.4950974559432666     |
|             3 | 38.6249914847 | 38.5772966033 | 0.0476949   | 0.2640720973240249     |
|             4 | 38.5772966033 | 38.5686475277 | 0.00864908  | 0.04769488142503775    |
|             5 | 38.5686475277 | 38.5670779435 | 0.00156958  | 0.00864907558359107    |
|             6 | 38.5670779435 | 38.5667930667 | 0.000284877 | 0.0015695842476475264  |
|             7 | 38.5667930667 | 38.5667413608 | 5.17059e-05 | 0.0002848768107810429  |
|             8 | 38.5667413608 | 38.5667319760 | 9.3848e-06  | 5.1705888722608506e-05 |
|             9 | 38.5667319760 | 38.5667302726 | 1.70337e-06 | 9.384795440325888e-06  |
|            10 | 38.5667302726 | 38.5667299634 | 3.09168e-07 | 1.703373783357165e-06  |



Resultados del metodo de punto fijo para la funcion F -7*log(x)+x-13 y G 7*log(x)+13 con un punto inicial de 50.0, con una tolerancia de 5e-06

|   Iteraciones |            Xi |         g(xi) |        f(x) | Error                  |
|---------------|---------------|---------------|-------------|------------------------|
|             0 | 50.0000000000 | 40.3841610380 | 9.61584     | NA                     |
|             1 | 40.3841610380 | 38.8890635821 | 1.4951      | 9.615838962002982      |
|             2 | 38.8890635821 | 38.6249914847 | 0.264072    | 1.4950974559432666     |
|             3 | 38.6249914847 | 38.5772966033 | 0.0476949   | 0.2640720973240249     |
|             4 | 38.5772966033 | 38.5686475277 | 0.00864908  | 0.04769488142503775    |
|             5 | 38.5686475277 | 38.5670779435 | 0.00156958  | 0.00864907558359107    |
|             6 | 38.5670779435 | 38.5667930667 | 0.000284877 | 0.0015695842476475264  |
|             7 | 38.5667930667 | 38.5667413608 | 5.17059e-05 | 0.0002848768107810429  |
|             8 | 38.5667413608 | 38.5667319760 | 9.3848e-06  | 5.1705888722608506e-05 |
|             9 | 38.5667319760 | 38.5667302726 | 1.70337e-06 | 9.384795440325888e-06  |
|            10 | 38.5667302726 | 38.5667299634 | 3.09168e-07 | 1.703373783357165e-06  |



Resultados del metodo de la biseccion para la funcion x^3+3*x^2+12*x+8 del intervalo -5 a 5, con una tolerancia de 0.0004

|   Iteraciones |             a |            xm |             b |        f(xm) | Error            |
|---------------|---------------|---------------|---------------|--------------|------------------|
|             1 | -5.0000000000 |  0.0000000000 |  0.0000000000 |   8          |                  |
|             2 | -2.5000000000 | -2.5000000000 |  0.0000000000 | -18.875      | 2.5              |
|             3 | -1.2500000000 | -1.2500000000 |  0.0000000000 |  -4.26562    | 1.25             |
|             4 | -1.2500000000 | -0.6250000000 | -0.6250000000 |   1.42773    | 0.625            |
|             5 | -0.9375000000 | -0.9375000000 | -0.6250000000 |  -1.43726    | 0.3125           |
|             6 | -0.7812500000 | -0.7812500000 | -0.6250000000 |  -0.0207825  | 0.15625          |
|             7 | -0.7812500000 | -0.7031250000 | -0.7031250000 |   0.69804    | 0.078125         |
|             8 | -0.7812500000 | -0.7421875000 | -0.7421875000 |   0.337449   | 0.0390625        |
|             9 | -0.7812500000 | -0.7617187500 | -0.7617187500 |   0.15806    | 0.01953125       |
|            10 | -0.7812500000 | -0.7714843750 | -0.7714843750 |   0.0685736  | 0.009765625      |
|            11 | -0.7812500000 | -0.7763671875 | -0.7763671875 |   0.0238796  | 0.0048828125     |
|            12 | -0.7812500000 | -0.7788085938 | -0.7788085938 |   0.00154459 | 0.00244140625    |
|            13 | -0.7800292969 | -0.7800292969 | -0.7788085938 |  -0.00961993 | 0.001220703125   |
|            14 | -0.7794189453 | -0.7794189453 | -0.7788085938 |  -0.00403792 | 0.0006103515625  |
|            15 | -0.7791137695 | -0.7791137695 | -0.7788085938 |  -0.00124673 | 0.00030517578125 |



Resultados del metodo de punto fijo para la funcion F -7*log(x)+x-13 y G 7*log(x)+13 con un punto inicial de 50.0, con una tolerancia de 0.0004

|   Iteraciones |            Xi |         g(xi) |        f(x) | Error                 |
|---------------|---------------|---------------|-------------|-----------------------|
|             0 | 50.0000000000 | 40.3841610380 | 9.61584     | NA                    |
|             1 | 40.3841610380 | 38.8890635821 | 1.4951      | 9.615838962002982     |
|             2 | 38.8890635821 | 38.6249914847 | 0.264072    | 1.4950974559432666    |
|             3 | 38.6249914847 | 38.5772966033 | 0.0476949   | 0.2640720973240249    |
|             4 | 38.5772966033 | 38.5686475277 | 0.00864908  | 0.04769488142503775   |
|             5 | 38.5686475277 | 38.5670779435 | 0.00156958  | 0.00864907558359107   |
|             6 | 38.5670779435 | 38.5667930667 | 0.000284877 | 0.0015695842476475264 |
|             7 | 38.5667930667 | 38.5667413608 | 5.17059e-05 | 0.0002848768107810429 |



Resultados del metodo de punto fijo para la funcion F -7*log(x)+x-13 y G 7*log(x)+13 con un punto inicial de 50.0, con una tolerancia de 0.0004

|   Iteraciones |            Xi |         g(xi) |        f(x) | Error                 |
|---------------|---------------|---------------|-------------|-----------------------|
|             0 | 50.0000000000 | 40.3841610380 | 9.61584     | NA                    |
|             1 | 40.3841610380 | 38.8890635821 | 1.4951      | 9.615838962002982     |
|             2 | 38.8890635821 | 38.6249914847 | 0.264072    | 1.4950974559432666    |
|             3 | 38.6249914847 | 38.5772966033 | 0.0476949   | 0.2640720973240249    |
|             4 | 38.5772966033 | 38.5686475277 | 0.00864908  | 0.04769488142503775   |
|             5 | 38.5686475277 | 38.5670779435 | 0.00156958  | 0.00864907558359107   |
|             6 | 38.5670779435 | 38.5667930667 | 0.000284877 | 0.0015695842476475264 |
|             7 | 38.5667930667 | 38.5667413608 | 5.17059e-05 | 0.0002848768107810429 |



Resultados del metodo de la regla falsa para la funcion exp(-2*x+9)-x - (-log(x)-x+9) del intervalo 3 a 3.476076059143922, con una tolerancia de 0.0004

|   Iteraciones |            a |            b |           xm |        f(m) |       Error |
|---------------|--------------|--------------|--------------|-------------|-------------|
|             1 | 3.0000000000 | 9.0000000000 | 6.8503007645 | -7.06662    | 6           |
|             2 | 3.0000000000 | 6.8503007645 | 5.4369231315 | -7.15325    | 1.41338     |
|             3 | 3.0000000000 | 5.4369231315 | 4.5354612847 | -6.55654    | 0.901462    |
|             4 | 3.0000000000 | 4.5354612847 | 3.9982711949 | -4.88644    | 0.53719     |
|             5 | 3.0000000000 | 3.9982711949 | 3.7125169655 | -2.85771    | 0.285754    |
|             6 | 3.0000000000 | 3.7125169655 | 3.5771501795 | -1.3929     | 0.135367    |
|             7 | 3.0000000000 | 3.5771501795 | 3.5179388613 | -0.613472   | 0.0592113   |
|             8 | 3.0000000000 | 3.5179388613 | 3.4931107375 | -0.257636   | 0.0248281   |
|             9 | 3.0000000000 | 3.4931107375 | 3.4828997248 | -0.105998   | 0.010211    |
|            10 | 3.0000000000 | 3.4828997248 | 3.4787348993 | -0.0432387  | 0.00416483  |
|            11 | 3.0000000000 | 3.4787348993 | 3.4770419895 | -0.0175762  | 0.00169291  |
|            12 | 3.0000000000 | 3.4770419895 | 3.4763548249 | -0.00713441 | 0.000687165 |
|            13 | 3.0000000000 | 3.4763548249 | 3.4760760591 | -0.00289427 | 0.000278766 |



Resultados del metodo de la regla falsa para la funcion exp(-2*x+9)-x - (-log(x)-x+9) del intervalo 3 a 9, con una tolerancia de 0.0004

|   Iteraciones |            a |            b |           xm |        f(m) |       Error |
|---------------|--------------|--------------|--------------|-------------|-------------|
|             1 | 3.0000000000 | 9.0000000000 | 6.8503007645 | -7.06662    | 6           |
|             2 | 3.0000000000 | 6.8503007645 | 5.4369231315 | -7.15325    | 1.41338     |
|             3 | 3.0000000000 | 5.4369231315 | 4.5354612847 | -6.55654    | 0.901462    |
|             4 | 3.0000000000 | 4.5354612847 | 3.9982711949 | -4.88644    | 0.53719     |
|             5 | 3.0000000000 | 3.9982711949 | 3.7125169655 | -2.85771    | 0.285754    |
|             6 | 3.0000000000 | 3.7125169655 | 3.5771501795 | -1.3929     | 0.135367    |
|             7 | 3.0000000000 | 3.5771501795 | 3.5179388613 | -0.613472   | 0.0592113   |
|             8 | 3.0000000000 | 3.5179388613 | 3.4931107375 | -0.257636   | 0.0248281   |
|             9 | 3.0000000000 | 3.4931107375 | 3.4828997248 | -0.105998   | 0.010211    |
|            10 | 3.0000000000 | 3.4828997248 | 3.4787348993 | -0.0432387  | 0.00416483  |
|            11 | 3.0000000000 | 3.4787348993 | 3.4770419895 | -0.0175762  | 0.00169291  |
|            12 | 3.0000000000 | 3.4770419895 | 3.4763548249 | -0.00713441 | 0.000687165 |
|            13 | 3.0000000000 | 3.4763548249 | 3.4760760591 | -0.00289427 | 0.000278766 |



Resultados del metodo de newton para la funcion (3/2)*9*x*log(x+100)+x^2*log(x+100)+(9*9^2)*log(x+100)/16, la derivada x**2/(x + 100) + 2*x*log(x + 100) + 27*x/(2*(x + 100)) + 27*log(x + 100)/2 + 729/(16*(x + 100)) con un punto inicial de 50.0, con una tolerancia de 5e-06

|   Iteraciones |            Xi |           f(xi) | Error                  |
|---------------|---------------|-----------------|------------------------|
|             0 | 50.0000000000 | 16137.1         |                        |
|             1 | 22.6572708840 |  4159.1         | 27.342729115999038     |
|             2 |  8.3112157248 |  1062.75        | 14.34605515922831      |
|             3 |  0.8907309747 |   269.371       | 7.42048475004628       |
|             4 | -2.8985368481 |    67.8757      | 3.7892678228575236     |
|             5 | -4.8159579732 |    17.0411      | 1.9174211250827606     |
|             6 | -5.7808273226 |     4.26968     | 0.9648693493830232     |
|             7 | -6.2648659919 |     1.06862     | 0.48403866932401574    |
|             8 | -6.5072948264 |     0.267308    | 0.24242883444350838    |
|             9 | -6.6286127121 |     0.066846    | 0.12131788575214753    |
|            10 | -6.6892976608 |     0.0167139   | 0.060684948706335895   |
|            11 | -6.7196466541 |     0.00417877  | 0.030348993275001845   |
|            12 | -6.7348227827 |     0.00104473  | 0.015176128558987756   |
|            13 | -6.7424112552 |     0.000261187 | 0.00758847253421191    |
|            14 | -6.7462055936 |     6.52974e-05 | 0.003794338364905059   |
|            15 | -6.7481027883 |     1.63244e-05 | 0.001897194711455441   |
|            16 | -6.7490513920 |     4.08112e-06 | 0.0009486037360684207  |
|            17 | -6.7495256955 |     1.02028e-06 | 0.0004743034697494153  |
|            18 | -6.7497628476 |     2.5507e-07  | 0.00023715213549291292 |
|            19 | -6.7498814238 |     6.37676e-08 | 0.00011857615641197583 |
|            20 | -6.7499407119 |     1.59419e-08 | 5.928815622002759e-05  |
|            21 | -6.7499703559 |     3.98552e-09 | 2.9643998059825094e-05 |
|            22 | -6.7499851781 |     9.96323e-10 | 1.4822191381824723e-05 |
|            23 | -6.7499925889 |     2.49116e-10 | 7.410748843028614e-06  |
|            24 | -6.7499962947 |     6.22435e-11 | 3.7058051631788658e-06 |



Resultados del metodo de raices multiples (Newton modificado 2) para la funcion x^4-7*x^3+16*x^2-12*x, la derivada 4*x^3 - 21*x^2 + 32*x - 12 y la segunda derivada 12*x**2 - 42*x + 32 con un punto inicial de 5.0, con una tolerancia de 5e-11

|   Iteraciones |      Xi |      f(x) | Error             |
|---------------|---------|-----------|-------------------|
|             0 | 5       | 90        |                   |
|             1 | 2.33189 | -0.171608 | 2.668112798264642 |



Resultados del metodo de raices multiples (Newton modificado 2) para la funcion x^4-7*x^3+16*x^2-12*x, la derivada 4*x^3 - 21*x^2 + 32*x - 12 y la segunda derivada 12*x**2 - 42*x + 32 con un punto inicial de 20.0, con una tolerancia de 5e-11

|   Iteraciones |       Xi |           f(x) | Error             |
|---------------|----------|----------------|-------------------|
|             0 | 20       | 110160         |                   |
|             1 |  1.87309 |     -0.0339963 | 18.12690895967749 |



Resultados del metodo de raices multiples (Newton modificado 2) para la funcion x^4-7*x^3+16*x^2-12*x, la derivada 4*x^3 - 21*x^2 + 32*x - 12 y la segunda derivada 12*x**2 - 42*x + 32 con un punto inicial de 20.0, con una tolerancia de 5e-11

|   Iteraciones |       Xi |           f(x) | Error             |
|---------------|----------|----------------|-------------------|
|             0 | 20       | 110160         |                   |
|             1 |  1.87309 |     -0.0339963 | 18.12690895967749 |



Resultados del metodo de raices multiples (Newton modificado 2) para la funcion x^4-7*x^3+16*x^2-12*x, la derivada 4*x**3 - 21*x**2 + 32*x - 12 y la segunda derivada 12*x**2 - 42*x + 32 con un punto inicial de 20.0, con una tolerancia de 5e-11

|   Iteraciones |       Xi |           f(x) | Error             |
|---------------|----------|----------------|-------------------|
|             0 | 20       | 110160         |                   |
|             1 |  1.87309 |     -0.0339963 | 18.12690895967749 |



Resultados del metodo de raices multiples para la funcion x^4-7*x^3+16*x^2-12*x, la derivada 4*x**3 - 21*x**2 + 32*x - 12 y la segunda derivada 12*x**2 - 42*x + 32 con un punto inicial de 20.0, con una tolerancia de 5e-10

|   Iteraciones |       Xi |             f(x) | Error                 |
|---------------|----------|------------------|-----------------------|
|             0 | 20       | 110160           |                       |
|             1 |  1.87309 |     -0.0339963   | 18.12690895967749     |
|             2 |  2.00174 |     -6.02019e-06 | 0.12864467682042902   |
|             3 |  2       |     -1.15818e-12 | 0.0017349574236456    |
|             4 |  2       |      0           | 7.647882440675602e-07 |
|             5 |  2       |      0           | 0.0                   |



Resultados del metodo de raices multiples para la funcion x^4-7*x^3+16*x^2-12*x, la derivada 4*x**3 - 21*x**2 + 32*x - 12 y la segunda derivada 12*x**2 - 42*x + 32 con un punto inicial de 20.0, con una tolerancia de 5e-10

|   Iteraciones |       Xi |             f(x) | Error                 |
|---------------|----------|------------------|-----------------------|
|             0 | 20       | 110160           |                       |
|             1 |  1.87309 |     -0.0339963   | 18.12690895967749     |
|             2 |  2.00174 |     -6.02019e-06 | 0.12864467682042902   |
|             3 |  2       |     -1.15818e-12 | 0.0017349574236456    |
|             4 |  2       |      0           | 7.647882440675602e-07 |
|             5 |  2       |      0           | 0.0                   |



Resultados del metodo de la secante para la funcion x^3+3*x^2+12*x+8 con un punto inicial de -5.0 y 5.0, con una tolerancia de 0.0001

|   Iteraciones |            Xi |          f(xi) | Error                  |
|---------------|---------------|----------------|------------------------|
|             0 | -5.0000000000 | -102           |                        |
|             1 |  5.0000000000 |  268           |                        |
|             2 | -2.2432432432 |  -15.1108      | 7.243243243243243      |
|             3 | -1.8566409389 |  -10.3384      | 0.3866023043357696     |
|             4 | -1.0191505583 |   -2.17236     | 0.8374903806170149     |
|             5 | -0.7963580325 |   -0.158777    | 0.22279252575117403    |
|             6 | -0.7787901682 |    0.00171312  | 0.017567864347205142   |
|             7 | -0.7789776928 |   -2.10506e-06 | 0.0001875245758933275  |
|             8 | -0.7789774626 |   -2.85887e-11 | 2.3014470484916671e-07 |



Resultados del metodo de la secante para la funcion x^3+3*x^2+12*x+8 con un intervalo de -5.0 a 5.0, con una tolerancia de 0.0001

|   Iteraciones |            Xi |          f(xi) | Error                  |
|---------------|---------------|----------------|------------------------|
|             0 | -5.0000000000 | -102           |                        |
|             1 |  5.0000000000 |  268           |                        |
|             2 | -2.2432432432 |  -15.1108      | 7.243243243243243      |
|             3 | -1.8566409389 |  -10.3384      | 0.3866023043357696     |
|             4 | -1.0191505583 |   -2.17236     | 0.8374903806170149     |
|             5 | -0.7963580325 |   -0.158777    | 0.22279252575117403    |
|             6 | -0.7787901682 |    0.00171312  | 0.017567864347205142   |
|             7 | -0.7789776928 |   -2.10506e-06 | 0.0001875245758933275  |
|             8 | -0.7789774626 |   -2.85887e-11 | 2.3014470484916671e-07 |



Resultados del método de Jacobi

 Iteración  x1  x2  x3    Error
         0   0   0   0 1.000000
         1   0   2   2 0.333333
         2   0   2   3 0.333333
         3   1   2   3 0.000000
         4   1   2   3 0.000000



Resultados del metodo de raices multiples para la funcion x^4-7*x^3+16*x^2-12*x, la derivada 4*x**3 - 21*x**2 + 32*x - 12 y la segunda derivada 12*x**2 - 42*x + 32 con un punto inicial de 5.0, con una tolerancia de 5e-06

|   Iteraciones |      Xi |         f(x) | Error                  |
|---------------|---------|--------------|------------------------|
|             0 | 5       | 90           |                        |
|             1 | 2.33189 | -0.171608    | 2.668112798264642      |
|             2 | 2.09098 | -0.0157327   | 0.24090846611147976    |
|             3 | 2.0031  | -1.91513e-05 | 0.08788187673934456    |
|             4 | 2       | -1.18554e-11 | 0.003094424015879227   |
|             5 | 2       |  3.55271e-15 | 2.4341482447454155e-06 |


Resultados del método de Jacobi

Eigenvalues: 0.591641114029303
La aproximación de la solución del sistema con una tolerancia = 1e-07 es:
[1.9896521  1.71683898 5.92662276]
IteraciÃ³n	x1	x2	x3	Error
0	0.00000000	0.00000000	0.00000000	0.00000000
1	1.00000000	2.50000000	5.00000000	1.00000000
2	2.55000000	1.50000000	5.87500000	0.26382979
3	1.84375000	2.01250000	6.01250000	0.11746362
4	2.18812500	1.61812500	5.96406250	0.06612523
5	1.92140312	1.80484375	5.95156250	0.04481544
6	2.04874687	1.67523281	5.93156172	0.02185106
7	1.96121146	1.74490492	5.93099492	0.01475898
8	2.00860550	1.70130725	5.92652910	0.00799693
9	1.97909306	1.72634402	5.92747819	0.00497892
10	1.99608959	1.71130307	5.92635927	0.00286795
11	1.98589531	1.72013701	5.92684817	0.00172002
12	1.99188772	1.71489321	5.92650808	0.00101112
13	1.98833214	1.71799144	5.92669523	0.00059993
14	1.99043332	1.71615750	5.92658089	0.00035454
15	1.98918967	1.71724239	5.92664770	0.00020984
16	1.98992540	1.71660052	5.92660802	0.00012414
17	1.98949012	1.71698029	5.92663148	0.00007344
18	1.98974765	1.71675561	5.92661760	0.00004345
19	1.98959529	1.71688855	5.92662582	0.00002571
20	1.98968544	1.71680990	5.92662096	0.00001521
21	1.98963210	1.71685643	5.92662383	0.00000900
22	1.98966366	1.71682890	5.92662213	0.00000532
23	1.98964499	1.71684519	5.92662314	0.00000315
24	1.98965603	1.71683555	5.92662254	0.00000186
25	1.98964950	1.71684125	5.92662290	0.00000110
26	1.98965337	1.71683788	5.92662269	0.00000065
27	1.98965108	1.71683988	5.92662281	0.00000039
28	1.98965243	1.71683870	5.92662274	0.00000023
29	1.98965163	1.71683939	5.92662278	0.00000014
30	1.98965210	1.71683898	5.92662276	0.00000008
IteraciÃ³n	x1	x2	x3	Error
0	0.00000000	0.00000000	0.00000000	0.00000000
1	1.00000000	2.50000000	5.00000000	1.00000000
2	2.55000000	1.50000000	5.87500000	0.26382979
3	1.84375000	2.01250000	6.01250000	0.11746362
4	2.18812500	1.61812500	5.96406250	0.06612523
5	1.92140312	1.80484375	5.95156250	0.04481544
6	2.04874687	1.67523281	5.93156172	0.02185106
7	1.96121146	1.74490492	5.93099492	0.01475898
8	2.00860550	1.70130725	5.92652910	0.00799693
9	1.97909306	1.72634402	5.92747819	0.00497892
10	1.99608959	1.71130307	5.92635927	0.00286795
11	1.98589531	1.72013701	5.92684817	0.00172002
12	1.99188772	1.71489321	5.92650808	0.00101112
13	1.98833214	1.71799144	5.92669523	0.00059993
14	1.99043332	1.71615750	5.92658089	0.00035454
15	1.98918967	1.71724239	5.92664770	0.00020984
16	1.98992540	1.71660052	5.92660802	0.00012414
17	1.98949012	1.71698029	5.92663148	0.00007344
18	1.98974765	1.71675561	5.92661760	0.00004345
19	1.98959529	1.71688855	5.92662582	0.00002571
20	1.98968544	1.71680990	5.92662096	0.00001521
21	1.98963210	1.71685643	5.92662383	0.00000900
22	1.98966366	1.71682890	5.92662213	0.00000532
23	1.98964499	1.71684519	5.92662314	0.00000315
24	1.98965603	1.71683555	5.92662254	0.00000186
25	1.98964950	1.71684125	5.92662290	0.00000110
26	1.98965337	1.71683788	5.92662269	0.00000065
27	1.98965108	1.71683988	5.92662281	0.00000039
28	1.98965243	1.71683870	5.92662274	0.00000023
29	1.98965163	1.71683939	5.92662278	0.00000014
30	1.98965210	1.71683898	5.92662276	0.00000008


 Resultados del metodo de Jacobi

IteraciÃ³n	x1	x2	x3	Error
0	0.00000000	0.00000000	0.00000000	0.00000000
1	1.00000000	2.50000000	5.00000000	1.00000000
2	2.55000000	1.50000000	5.87500000	0.26382979
3	1.84375000	2.01250000	6.01250000	0.11746362
4	2.18812500	1.61812500	5.96406250	0.06612523
5	1.92140312	1.80484375	5.95156250	0.04481544
6	2.04874687	1.67523281	5.93156172	0.02185106
7	1.96121146	1.74490492	5.93099492	0.01475898
8	2.00860550	1.70130725	5.92652910	0.00799693
9	1.97909306	1.72634402	5.92747819	0.00497892
10	1.99608959	1.71130307	5.92635927	0.00286795
11	1.98589531	1.72013701	5.92684817	0.00172002
12	1.99188772	1.71489321	5.92650808	0.00101112
13	1.98833214	1.71799144	5.92669523	0.00059993
14	1.99043332	1.71615750	5.92658089	0.00035454
15	1.98918967	1.71724239	5.92664770	0.00020984
16	1.98992540	1.71660052	5.92660802	0.00012414
17	1.98949012	1.71698029	5.92663148	0.00007344
18	1.98974765	1.71675561	5.92661760	0.00004345
19	1.98959529	1.71688855	5.92662582	0.00002571
20	1.98968544	1.71680990	5.92662096	0.00001521
21	1.98963210	1.71685643	5.92662383	0.00000900
22	1.98966366	1.71682890	5.92662213	0.00000532
23	1.98964499	1.71684519	5.92662314	0.00000315
24	1.98965603	1.71683555	5.92662254	0.00000186
25	1.98964950	1.71684125	5.92662290	0.00000110
26	1.98965337	1.71683788	5.92662269	0.00000065
27	1.98965108	1.71683988	5.92662281	0.00000039
28	1.98965243	1.71683870	5.92662274	0.00000023
29	1.98965163	1.71683939	5.92662278	0.00000014
30	1.98965210	1.71683898	5.92662276	0.00000008



Resultados del metodo de Jacobi

|   Iteraciones |         x1 |         x2 |         x3 |      Error |
|---------------|------------|------------|------------|------------|
|             0 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 |
|             1 | 1.00000000 | 2.50000000 | 5.00000000 | 1.00000000 |
|             2 | 2.55000000 | 1.50000000 | 5.87500000 | 0.26382979 |
|             3 | 1.84375000 | 2.01250000 | 6.01250000 | 0.11746362 |
|             4 | 2.18812500 | 1.61812500 | 5.96406250 | 0.06612523 |
|             5 | 1.92140312 | 1.80484375 | 5.95156250 | 0.04481544 |
|             6 | 2.04874687 | 1.67523281 | 5.93156172 | 0.02185106 |
|             7 | 1.96121146 | 1.74490492 | 5.93099492 | 0.01475898 |
|             8 | 2.00860550 | 1.70130725 | 5.92652910 | 0.00799693 |
|             9 | 1.97909306 | 1.72634402 | 5.92747819 | 0.00497892 |
|            10 | 1.99608959 | 1.71130307 | 5.92635927 | 0.00286795 |
